timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance	oob_percentage
0	(126.99750518798828, 27.501991271972656, -28)	(-0.0009960157331079245, 0.9999995231628418, 0)	(0, 0, 0)	0	None	0	None	0	None	0	0	False	0	0	1.9965407062288696	0.02569574102618144
0.20000000298023224	(126.99772644042969, 27.503856658935547, -27.96969985961914)	(-0.0011074538342654705, 0.9999861717224121, -0.005132768768817186)	(-0.0012273406609892845, 0.08641093969345093, 0.16578684747219086)	-11.99422004103598	0.02352623630950619	0	0	0.5	0.5	0.05883602964440327	1	False	0	0	1.9963120164421768	0.02554950888603924
0.4425000138580799	(126.99787902832031, 27.629108428955078, -27.850229263305664)	(-0.0011855305638164282, 0.9999913573265076, -0.003999845124781132)	(0.010489212349057198, 0.8738678693771362, 0.9156560897827148)	-10.584235453043645	0.020662198543557657	0	0	0.511846300573272	0.511846300573272	2.6584191037748637	5	False	0	0	1.9956599296358861	0.0
0.6777500249445438	(126.99964904785156, 27.870525360107422, -27.737199783325195)	(-0.0001327757490798831, 0.9999969601631165, -0.0024863234721124172)	(-0.01858219876885414, 1.4238317012786865, -0.05958455801010132)	-8.766845432625269	0.017338263666274306	0	0	0.9327777967644417	0.9327777967644417	1.355849442800789	5	False	0	0	1.9929271610328572	0.0
0.9140000380575657	(127.00182342529297, 28.366207122802734, -27.75370979309082)	(0.002356016542762518, 0.9999326467514038, 0.01136844139546156)	(-0.05242282152175903, 2.908268690109253, -0.08731246739625931)	-8.690713471220452	0.016520376509328447	0	0	0.47485881045818296	0.47485881045818296	2.9599618412906796	10	False	0	0	1.9880953876312162	0.0
1.149500049650669	(127.00737762451172, 29.182390213012695, -27.76390838623047)	(0.006676596123725176, 0.9998219609260559, 0.01765383780002594)	(-0.015293116681277752, 4.140941619873047, -0.017225908115506172)	-7.402468981761264	0.013583808224257024	0	0	0.7344484476732834	0.7344484476732834	4.454026946822925	15	False	0	0	1.977511290530277	0.0
1.3840000592172146	(127.02118682861328, 30.30034637451172, -27.76513671875)	(0.012008060701191425, 0.9997811317443848, 0.017132772132754326)	(0.030261702835559845, 5.408158302307129, 0.0018748780712485313)	-3.8113664380046273	0.006910229239494526	0	0	0.7579339552028485	0.7579339552028485	5.609479386734434	19	False	0	0	1.9556442338560482	0.0
1.6167500652372837	(127.0419921875, 31.718149185180664, -27.76235580444336)	(0.013975627720355988, 0.9997681379318237, 0.01638144440948963)	(0.09975038468837738, 6.805375576019287, 0.035348080098629)	-3.4041665760839175	0.006836031299062044	0	0	0.5713753605492564	0.5713753605492564	6.945084898194586	25	False	0	0	1.923541992367436	0.0
1.8507500737905502	(127.07231140136719, 33.45802688598633, -27.761138916015625)	(0.01708916947245598, 0.9997514486312866, 0.014320045709609985)	(0.17139381170272827, 8.056612968444824, -0.03336969017982483)	-4.806742531341957	0.010812346342507185	0	0	0.48617316262095045	0.48617316262095045	8.206480006653797	29	False	0	0	1.877954487296772	0.0
2.0840000808238983	(127.11698150634766, 35.45586395263672, -27.76143455505371)	(0.022424232214689255, 0.9996842741966248, 0.01133798249065876)	(0.2293957620859146, 9.11513900756836, -0.03990880399942398)	-8.945924053529572	0.01902509498019806	0	0	0.4137296780048501	0.4137296780048501	9.287208328597224	33	False	0	0	1.8167741432163875	0.0
2.318000089377165	(127.18651580810547, 37.69865036010742, -27.76241683959961)	(0.03166920691728592, 0.9994617104530334, 0.008566491305828094)	(0.3594820201396942, 9.998208045959473, -0.01419990137219429)	-11.955927556339155	0.024219133936512132	0	0	0.3650242981576275	0.3650242981576275	10.149777210406032	36	False	0	0	1.730636366474515	0.0
2.5530000999569893	(127.28897094726562, 40.13481140136719, -27.763595581054688)	(0.043972328305244446, 0.9990153312683105, 0.005902305711060762)	(0.5286468267440796, 10.729997634887695, 0.02212356962263584)	-12.397872412394813	0.02340070792514536	0	0	0.34461795840157733	0.34461795840157733	10.993702352194024	39	False	0	0	1.6168155461655334	0.0
2.787000108510256	(127.42720794677734, 42.73249053955078, -27.764461517333984)	(0.055183250457048416, 0.9984675049781799, 0.004185528494417667)	(0.6795344352722168, 11.434496879577637, -0.004595449194312096)	-9.287631502572573	0.01670166101090717	0	0	0.3344641468193908	0.3344641468193908	11.611536744191483	41	False	0	0	1.477114755801112	0.0
3.0215001180768013	(127.59674835205078, 45.485443115234375, -27.765010833740234)	(0.06239256635308266, 0.9980478286743164, 0.002762468298897147)	(0.7743892669677734, 12.04715347290039, 0.014314082451164722)	-4.814645685745296	0.007751674082184284	0	0	0.3151116687333005	0.3151116687333005	12.250002337343554	43	False	0	0	1.324418773244007	0.0
3.255500126630068	(127.78604888916016, 48.36805725097656, -27.765575408935547)	(0.06605987995862961, 0.9978143572807312, 0.0015791197074577212)	(0.8421299457550049, 12.602326393127441, -0.01733333244919777)	-0.4848071071970204	-0.0007240772335223855	0	0	0.3105656169219895	0.3105656169219895	12.825358022502934	45	False	0	0	1.177664355077718	0.0
